Unnamed: 0,1a,2a,3a,4a,5a,1b,2b,3b,4b,5b
1,-0.5735975076225008,-0.084369712193927,0.13064667926778506,0.2538224376502836,0.025533010990474295,-0.2715503645901296,-0.2819200060102216,0.17129979204166124,-0.04715565374570337,-0.023738953395816515
2,0.09559047311793431,-0.3442357676888597,-0.04170719792943388,0.12040493202859247,0.07665447072075635,-0.05335156633491784,-0.2939829564469783,-0.358554672919123,0.1001384829641572,-0.0072304327126073605
3,-0.2539791693380157,-0.007978859894584689,0.3120994843824429,0.1682650068984907,0.0777143943882655,-0.1453019920093693,-0.09615491502266318,-0.13406560558841507,0.010253923565379668,0.09184242921234194
4,-0.314831537642837,0.070805445210041,0.08474176153540514,-0.16662406526223128,0.052099431030162555,-0.20221405764229822,0.2697814460087735,0.1775538968074407,-0.0042054527678044365,0.0506394692910938
5,-0.1344450334012365,0.0564222935481767,-0.4118526665053676,-0.11930332968906564,-0.02859879382377748,0.24438311322941852,-0.12238072479640458,0.5949310949737555,-0.0554026956955748,0.07514677780703416
6,0.12778985338618318,-0.21742613765348123,-0.044841608381854706,0.037598099897615325,0.009011783363857464,0.15008557881141857,-0.09500282598769672,0.21133676392045322,-0.15039943736069408,0.029831878189049168
7,0.027100024789895538,-0.14846154897022235,0.012357695087175255,0.1748501694093061,0.03530994617400574,0.17914682683947558,-0.10886872207913845,0.39041278481155584,0.045139074970432194,0.0018349228727098897
8,-0.0587535730219193,0.1437777127349139,0.17172500084643064,-0.0047398448311200825,0.04291806326078545,-0.32640313630308804,-0.3028434296708261,-0.3132383438722638,-0.06963417166473662,-0.09442542634273776
9,-0.24947948812175388,-0.3275494810923934,0.0765087848631312,0.3392556766435657,0.06967894665565426,-0.3247783966865127,-0.5402900036765506,0.07125375019339754,-0.07043756143718932,0.03139010928080223
10,-0.28057877134084974,-0.3499683229722955,0.25296324039204865,0.1114763234823935,0.0693208234844467,-0.22531584163304372,0.18481696953614413,0.09849824432043641,-0.056812726724777475,-0.01839199454059941
11,-0.2022787054302443,-0.049986208072317184,0.33964550512663705,-0.03215551095942373,-0.05185199715072935,-0.28442570975201986,0.33152646797942614,-0.06789158042497288,0.057614570436947427,0.07548705977501212
12,-0.3047621484434997,0.11468870442764274,0.001495036743543246,0.09615449137612599,0.07436515288719013,0.28699768466647224,-0.10115065484750825,-0.12213331212023852,0.04704425643081999,0.30210169125293834
13,-0.0845948966220336,-0.018174350376349,0.28270119894223,0.07676751922773709,0.03534313459741167,-0.026207114276258395,-0.13253329517546947,-0.009536885630936121,0.13724262971214332,-0.03281834035486009
14,-0.1577853563874252,-0.1231714887073967,0.2314053096635572,-0.011296293246320241,0.042058340558934704,-0.30032870199861306,0.04294032596320757,-0.016170753892726587,0.25316128062289467,0.07356745898161994
15,-0.018353570701358235,0.09377166287752077,0.31574058460501403,0.1412163902642232,0.06247245760244643,-0.12352543125908126,-0.05373903333223351,-0.2688407251062126,0.2355867194577512,-0.08745279565744403
